"Entry","Name","Source","CollDate","Lat","Lon","Origin","Region","DTF_Cluster","CotyledonColor","Size","SeedMass1000.2016","SeedMass1000.2017","DTE_Ro16","DTE_Ro17","DTE_Su16","DTE_Su17","DTF_Ro16","DTF_Ro17","DTF_Su16","DTF_Su17","DTM_Ro16","DTM_Ro17","DTM_Su16","DTM_Su17","REP_Ro16","REP_Ro17","REP_Su16","REP_Su17","Pc_Ro16","Pc_Ro17","Pc_Su16","Pc_Su17","Tb_Ro16","Tb_Ro17","Tb_Su16","Tb_Su17"
81,"ILL 4768 AGL","ICARDA",NA,NA,NA,"Yemen","Asia",2,"Red","S",34,29.9,9.3,8.7,14.3,13,43.7,38,44.3,42.7,88.3,72.7,89.7,80,44.7,34.7,45.3,37.3,5.9,6,6,6,-41,-42,-39.3,-40
82,"ILL 4782 AGL","ICARDA",NA,NA,NA,"Unknown","Other",2,"Red","M",38.4,33.3,8.3,9.3,16.3,12.3,42,38.3,45,41.3,88.3,72.7,91.7,81.3,46.5,34.3,46.7,40,5.9,6,6,6,-37.2,-38,-35.6,-37
83,"ILL 4783 AGL","ICARDA",NA,NA,NA,"Czech Republic","Europe",7,"Yellow","XL",55.6,54.8,8,8,12.3,11.7,49.3,47.7,54,56,98,82,99,NA,48.7,34,45,NA,6.2,6,6.3,7,-38.7,-40,-37,-38
84,"ILL 4804 AGL","ICARDA",NA,NA,NA,"Libya","Africa",5,"Red","M",29.2,28.4,8.7,10,15,12,43.7,44.3,47.7,46,91.3,77.7,94,84,47.7,33.3,46.3,36,6.8,7,6.9,7,-60.1,-62,-57.6,-59
85,"ILL 4875 AGL","ICARDA",NA,NA,NA,"Uzbekistan","Asia",8,"Red","S",22.1,19.9,8.7,9.3,17,14,50.7,49.7,55.7,56.7,94.7,80,97,89,44,31,41.3,32.3,6.1,6,6.2,6,-33,-34,-31.5,-32
86,"ILL 4956 AGL","ICARDA",NA,NA,NA,"Portugal","Europe",7,"Yellow","L",30.4,36.4,8.3,9.3,13.7,12,48.7,46,52.3,53.7,97.3,82,101,NA,48.7,36,48.7,NA,6.1,6,6.2,6,-31.5,-32,-30,-31
87,"ILL 5058 AGL","ICARDA",NA,NA,NA,"Spain","Europe",7,"Yellow","XL",69.7,55.4,8.7,10,13.7,14.3,51.7,51.3,55.3,54.7,98,NA,97.3,90,46.3,NA,42,34,6.4,6,6.5,7,-52,-53,-49.9,-51
88,"ILL 5151 AGL","ICARDA",NA,NA,NA,"India","Asia",5,"Red","M",32.5,33.2,8.7,9.7,15.7,13.7,45.3,44.7,49,48,92,77.3,91,83.3,46.7,32.7,42,35.3,6.7,7,6.8,7,-76.7,-79,-73.7,-76
89,"ILL 5209 AGL","ICARDA",1980,NA,NA,"Jordan","Asia",5,"Yellow","M",39.4,37.6,9,9.3,15,12.3,44.7,44.3,47.7,47.7,93.3,75.7,92.3,86.7,48.7,31.3,44.7,39,6.7,7,6.8,7,-79,-81,-75.9,-78
90,"ILL 5480 AGL","ICARDA",1983,NA,NA,"Czech Republic","Europe",7,"Yellow","L",34.5,38.8,8.7,9,15,13,49.3,48,54.3,55,98,82,104.3,NA,48.7,34,50,NA,5.8,6,6,6,-30.9,-32,-29.5,-30
91,"ILL 5639 AGL","ICARDA",1950,NA,NA,"Ethiopia","Africa",4,"Yellow","M",32.6,30.9,9,9.7,14.3,13,45.7,45.3,47.3,47,93,80,93.3,87.7,48.5,35,46,39.5,6.3,6,6.4,7,-40.8,-42,-39.1,-40
92,"ILL 5722 AGL","ICARDA",1984,NA,NA,"Turkey","Asia",2,"Red","L",47.1,46.6,8.7,9,13.7,14,45,39.3,43.7,44.3,94,81,93.3,84.7,49,41.7,49.7,40.3,5.1,5,5.3,6,-16.7,-17,-15.8,-16
93,"ILL 5883 AGL","ICARDA",1984,NA,NA,"Jordan","Asia",5,"Red","L",38.6,49.9,8,9.3,13,12,44,43.3,48,46.3,90.7,76,90.3,82.7,46.7,32.7,42.3,36.3,6.8,7,6.9,7,-68.3,-70,-65.6,-67
94,"ILL 5888 AGL","ICARDA",1984,NA,NA,"Bangladesh","Asia",1,"Red","M",31.2,32.3,9.7,9.3,15,14,42.7,38,44.3,41,90,74.3,91,83,47.3,36.3,46.7,41,-11,-11,-10.2,-9,0,0,0.2,0
95,"ILL 5945 AGL","ICARDA",1979,NA,NA,"Ethiopia","Africa",2,"Red","M",28.1,30.2,8.3,9.3,13.7,10.3,44.7,39,45,41.3,88,71.7,90,80.3,43.3,32.7,45,39,5.4,5,5.5,6,-35.6,-37,-34.2,-35
96,"ILL 6002 AGL","ICARDA",2006,NA,NA,"ICARDA","Other",1,"Yellow","L",44.5,46.5,8,9.3,11.7,11.7,43.3,45,47,47,93,82,95.7,87.5,49.7,37,48.7,41,1.8,2,2,2,-14.5,-15,-13.8,-14
97,"ILL 618 AGL","ICARDA",1950,NA,NA,"Tajikistan","Asia",4,"Red","S",26.1,25.4,8.3,9,17,11.7,44.7,43.3,47.3,46.7,95.7,78.7,94.7,87,51,35.3,47.3,40.3,6.4,6,6.5,7,-30.7,-32,-29.3,-30
98,"ILL 6182 AGL","ICARDA",NA,NA,NA,"Tunisia","Africa",5,"Red","S",28.7,22.5,9,9.3,16.3,14,44.3,43.7,49,47.3,94,80.7,95,87,49.7,37,46,40,6.5,6,6.5,7,-64.4,-66,-61.9,-64
99,"ILL 6211 AGL","ICARDA",NA,NA,NA,"ICARDA","Other",1,"Yellow","L",43.8,45.7,9,9,15,12.3,46.3,45.7,49.3,46.5,96.7,80,95.3,90,50.3,34.5,46,43.5,2.1,2,2.3,3,-16.7,-17,-15.9,-16
100,"ILL 624 AGL","ICARDA",1970,NA,NA,"Macedonia","Europe",7,"Yellow","M",27.2,23.9,8.3,9.3,14.3,12.3,47.7,46.3,51.3,51.3,96.7,82,94.7,89.5,49,35.7,43.3,38,6.3,6,6.4,7,-37.2,-38,-35.6,-37
101,"ILL 6821 AGL","ICARDA",NA,NA,NA,"Ethiopia","Africa",5,"Red","M",32.3,30.8,8.3,10,13,12,43.7,44.7,47.7,47,90,78,91.3,82.7,46.3,33.3,43.7,35.7,7.1,7,7.2,7,-108.1,-111,-104,-107
102,"ILL 6853 AGL","ICARDA",NA,NA,NA,"Syria","Asia",5,"Yellow","XL",57,66.6,9.3,9.3,14.3,13.3,49,45,51,49.3,95.3,80.5,96,87,46.3,36,45,39,6.5,6,6.6,7,-82.5,-85,-79.4,-81
103,"ILL 7089 AGL","ICARDA",1930,NA,NA,"Russia","Europe",4,"Yellow","L",36.7,40.8,8.7,9,11.7,12,44,41.3,47.3,45.7,93.3,81,92,87.3,49.3,39.5,44.7,41.7,6.5,6,6.6,7,-29.3,-30,-27.9,-29
104,"ILL 7558 AGL","ICARDA",NA,NA,NA,"India","Asia",1,"Yellow","XL",57.3,60.4,8.3,9.3,13.7,13.3,46,45.7,49.3,48.3,94,79.3,94.3,88.5,48,33.7,45,40.5,2.6,3,2.8,3,-18.1,-19,-17.3,-18
105,"ILL 7663 AGL","ICARDA",NA,NA,NA,"ICARDA","Other",1,"Red","M",36.8,35.8,8.7,9.3,13.7,12.3,44,39.7,44,44,91,75,91.7,82.3,47,35.3,47.7,38.3,-5.5,-6,-4.9,-4,-2.6,-3,-2.3,-3
106,"ILL 7668 AGL","ICARDA",NA,NA,NA,"ICARDA","Other",2,"Red","S",31,27.4,8.7,9.3,14.3,13.3,44.7,42.7,47,47,89.3,74.7,90.7,83.3,44.7,32,43.7,36.3,5.3,5,5.4,6,-30.5,-31,-29.2,-30
107,"ILL 7716 AGL","ICARDA",NA,NA,NA,"India","Asia",1,"Yellow","L",51.3,50.3,9,8.3,15.7,12,47,45,49.3,47,94.7,77,96.3,88.7,47.7,32,47,41.7,1.3,1,1.6,2,-12.7,-13,-12.1,-13
108,"ILL 7747 AGL","ICARDA",1986,NA,NA,"Syria","Asia",5,"Yellow","M",24.4,28.8,9,10.3,15.7,14,47.7,45,49.3,47.3,91.3,76.7,91.7,85.7,43.7,31.7,42.3,38.3,6.8,7,6.9,7,-86,-88,-82.7,-85
109,"ILL 7946 AGL","ICARDA",NA,NA,NA,"Syria","Asia",5,"Red","M",45.9,44.8,8.7,9.7,14.3,12.7,45.3,43,46.3,45,88.7,75.3,91.3,82.7,43.3,32.3,45,37.7,6.7,7,6.8,7,-62.1,-64,-59.6,-61
110,"ILL 7978 AGL","ICARDA",NA,NA,NA,"Ethiopia","Africa",2,"Red","M",43.7,39.9,9,9,14.3,13.3,43,41,45,44,92,73.7,92,82.3,49,32.7,47,38.3,5.1,5,5.2,5,-35.5,-36,-34,-35
111,"ILL 7979 AGL","ICARDA",NA,NA,NA,"ICARDA","Other",2,"Red","S",30,25,8.7,9.3,16.3,13.7,46.3,42,46,47,93,76.7,94.7,85.3,46.7,34.7,48.7,38.3,5.1,5,5.2,5,-37.6,-39,-36.1,-37
112,"ILL 8007 AGL","ICARDA",NA,NA,NA,"Bangladesh","Asia",1,"Red","S",27.3,28.8,9.3,10.3,17,13,44,38,43.3,40,88.3,74,91.3,80.3,44.3,36,48,40.3,4.2,4,4.3,5,-19.1,-20,-18.2,-19
113,"ILL 8009 AGL","ICARDA",NA,NA,NA,"Bangladesh","Asia",2,"Red","S",23.5,20.7,9,9.3,16.3,12.7,44,38.3,45,42.3,90.7,74.3,90.3,80.7,46.7,36,45.3,38.3,4.7,5,4.9,5,-23.1,-24,-22.1,-23
114,"ILL 8010 AGL","ICARDA",NA,NA,NA,"Bangladesh","Asia",2,"Red","S",23.9,23.2,8.7,10.3,16.3,12.3,42.7,41.7,45.3,45,90.3,76,90,83.3,47.7,34.3,44.7,38.3,4.5,4,4.6,5,-21.6,-22,-20.6,-21
115,"ILL 8072 AGL","ICARDA",NA,NA,NA,"India","Asia",5,"Yellow","XL",62.7,64.9,8,9.3,11.7,13.7,45,43.7,47,49,95.3,81.3,92.7,89,50.3,37.7,45.7,39,7,7,7.1,7,-70.8,-73,-67.9,-70
116,"ILL 8174 AGL","ICARDA",NA,NA,NA,"ICARDA","Other",3,"Yellow","L",44.6,60.7,8,9.7,13.7,12,45.3,45.7,50,48.7,98,82,97.7,89,52.7,36,47.7,43,5.5,5,5.6,6,-22.2,-23,-21.1,-22
117,"ILL 8595 AGL","ICARDA",1991,NA,NA,"Ecuador","Americas",4,"Red","L",42.9,44.4,8.3,9.3,12.3,12.7,44,43.7,47,47.3,96.7,79,101.3,89.7,52.7,35.5,54.3,42.3,5,5,5.1,5,-15.6,-16,-14.8,-15
118,"ILL 9 AGL","ICARDA",NA,NA,NA,"Jordan","Asia",2,"Yellow","L",48.3,49.5,8.7,9.3,15,13.3,43.3,39,46.3,42.3,91,77.7,92.7,83,47.7,38.7,46.3,42,5.8,6,5.9,6,-29.8,-31,-28.4,-29
119,"ILL 975 AGL","ICARDA",1964,NA,NA,"Chile","Americas",5,"Yellow","M",31.6,35.1,8.7,10,14.3,13.3,45.3,42.7,46.3,45.3,91,75,90,82.7,45.7,32.3,43.7,37.3,7,7,7,7,-113.3,-116,-109,-112
120,"ILL 9888 AGL","ICARDA",NA,NA,NA,"ICARDA","Other",2,"Red","M",24.8,28.3,9,9.7,13,11.3,45,40.3,45.7,43.7,90.7,74,89.7,81,45.7,33.7,44,37.3,6.4,6,6.5,7,-41.6,-43,-39.8,-41
121,"ILL 9932 AGL","ICARDA",NA,NA,NA,"ICARDA","Other",2,"Red","S",29.6,28.2,9.3,10,17,12.7,45,39.3,46.3,45,88.7,75.7,91.7,81.3,43.7,36.3,45.3,36.3,5.8,6,5.9,6,-36.7,-38,-35.1,-36
122,"ILL 9945 AGL","ICARDA",NA,NA,NA,"ICARDA","Other",2,"Red","S",33.8,32.7,8.3,9,15,12.3,43.3,38.3,45,42.7,88.7,74.3,90.3,82.7,45.3,36,45.3,40,6.4,6,6.5,7,-58.3,-60,-56,-58
123,"ILL 9977 AGL","ICARDA",NA,NA,NA,"Jordan","Asia",2,"Red","S",27.3,28.9,9.3,9.7,17.7,13.3,44,39,44.7,43.7,89.3,74.3,91.7,81.3,45.3,35.3,47,37.7,5.5,5,5.6,6,-32.9,-34,-31.5,-32
124,"ILL 9997 AGL","ICARDA",NA,NA,NA,"ICARDA","Other",2,"Red","M",27.8,32.7,8.7,10,13,13.7,45.3,41.7,45.7,43.7,92.7,77,91.3,84,47.3,35.3,45.7,40.3,4.3,4,4.5,5,-24.5,-25,-23.4,-24
125,"ILWL 118 AGL","ICARDA",NA,NA,NA,"Syria","Asia",3,"Red","M",27.7,25.6,8,10.3,15.7,14,45.3,45.3,49.3,50,91.3,76.7,92.7,86.5,46,31.3,43.3,37,5.1,5,5.2,5,-28,-29,-26.8,-28
126,"Indianhead AGL","USASK",1988,52.137,-106.622,"Canada","Americas",8,"Yellow","S",18.8,16.9,9.7,9.7,18.3,14.3,55,55.7,61.3,61.5,101,NA,106.3,NA,46,NA,45,NA,4.8,5,5,5,-31.7,-33,-30.4,-31
127,"IPL 220 AGL","ICARDA",NA,NA,NA,"India","Asia",1,"Red","S",29.6,26.7,9,9.7,13.7,13,44,39.3,44,41,90,74.3,89.7,82.7,46,35,45.7,41.7,4.5,4,4.7,5,-23.2,-24,-22.2,-23
128,"Laird AGL","USASK",1979,52.137,-106.622,"Canada","Americas",8,"Yellow","XL",44,56.6,8,8.7,13,12.3,53,51,56,57.7,98,NA,104,NA,45,NA,48,NA,4,4,4.1,4,-20.4,-21,-19.4,-20
129,"LIRL-22-46 AGL","ICARDA",NA,NA,NA,"India","Asia",1,"Red","M",38.8,33,8.3,9,13,12,44,42.3,46.7,46,93,79.5,94,87,49,37.5,47.3,41,-0.4,-1,-0.1,1,-8.6,-9,-8.1,-8
130,"PI 163589 AGL","USDA",1948,NA,NA,"Guatemala","Americas",7,"Yellow","L",41.3,47.4,9,10,13.7,13.7,49.3,46,53,53.3,95.3,79,92.7,87,46,33.5,39.7,33,6.4,6,6.5,7,-61.1,-63,-58.7,-60
131,"PI 169534 LSP AGL","USDA",1948,41.66666667,26.56666667,"Turkey","Asia",6,"Yellow","S",24.8,21.2,8.3,10,16.3,11.3,48.7,45.7,51.7,53,97.3,82,103.3,88,48.7,37,51.7,35,5.8,6,5.9,6,-24.5,-25,-23.3,-24
132,"PI 175754 LSP AGL","USDA",1948,39.74194444,39.4925,"Turkey","Asia",4,"Red","L",40,32.7,8,8.3,12.3,11.7,45.3,43.7,48.7,47.3,93.7,79,94.7,88.5,48.3,35.3,46,41.5,6.8,7,6.9,7,-42.5,-44,-40.6,-42
133,"PI 177430 LSP AGL","USDA",1948,NA,NA,"Turkey","Asia",7,"Red","M",32.5,27.9,9,9.3,15,13.3,48.7,45.7,51.7,51.3,94.7,80.7,97.3,88,46,35,45.7,36.7,6.7,7,6.7,7,-56.5,-58,-54.2,-56
134,"PI 178939 LSP AGL","USDA",1948,NA,NA,"Turkey","Asia",6,"Yellow","M",27.2,24.3,8.7,9.3,15,13.3,46.7,46,53,53.3,96.7,82,101.3,89,50,36,48.3,37,6.2,6,6.3,7,-33.7,-35,-32.2,-33
135,"PI 178952 AGL","USDA",1948,NA,NA,"Turkey","Asia",4,"Red","S",28.2,27.1,8.7,9,14.3,12.3,46.7,44,47,48,95.3,79,93.7,87,48.7,35.5,46.7,39,6.3,6,6.4,7,-30.3,-31,-28.8,-30
136,"PI 178971 LSP AGL","USDA",1948,NA,NA,"Turkey","Asia",6,"Red","S",25.2,23.5,8,9.3,14.3,12.7,46.3,46,51,54,93.7,81.3,94.3,87,47.3,35.3,43.3,33,6.2,6,6.3,6,-36.8,-38,-35.1,-36
137,"PI 179324 LSP AGL","USDA",1948,NA,NA,"Turkey","Asia",6,"Red","M",29.8,33.6,8.7,10,15,13.3,47,45.7,49.7,49.3,92.7,80.7,92.7,86.5,45.7,35,43,36,7,7,7.1,7,-61.4,-63,-58.8,-61
138,"PI 179330 AGL","USDA",1948,NA,NA,"Turkey","Asia",6,"Yellow","M",33,41.8,8,8.7,13,12.3,47,45.3,49.3,49.3,95.3,78.7,93.3,84.7,48.3,33.3,44,35.3,6.8,7,6.9,7,-47,-48,-44.9,-46
139,"PI 181771 LSP AGL","USDA",1949,NA,NA,"Lebanon","Asia",7,"Red","S",26,23.7,9.3,9.3,15.7,13,47,47,50.7,52.7,95.7,79.7,94.3,86.7,48.7,32.7,43.7,34,6.2,6,6.3,6,-38.4,-40,-36.7,-38
140,"PI 181886 LSP AGL","USDA",1949,NA,NA,"Syria","Asia",5,"Yellow","XL",50.4,62.3,9.3,9,16.3,12.3,45.3,44.7,50,49.7,94,80.3,96.3,86,48.7,35.7,46.3,38,6.8,7,6.8,7,-81.4,-83,-78.2,-80
141,"PI 182217 LSP AGL","USDA",1948,NA,NA,"Turkey","Asia",4,"Red","S",28,23.6,8.3,9.7,13.7,12,45.3,44.7,48.3,47,96,80.7,96,88,50.7,36,47.7,41,6.5,6,6.6,7,-35.8,-37,-34.1,-35
142,"PI 193546 AGL","USDA",1950,NA,NA,"Ethiopia","Africa",5,"Red","M",33.9,36.7,9,10,14.3,13,45.7,45,50,47.3,91.7,80.3,93.7,85,46,35.3,43.7,37.7,7,7,7.1,7,-83.1,-85,-79.8,-82
143,"PI 193547 LSP AGL","USDA",1950,NA,NA,"Ethiopia","Africa",7,"Red","S",22.7,21,9.3,9.7,16.3,13,49.7,49,52.3,53.3,94,79,93,85.7,44.3,30,40.7,32.3,6.2,6,6.3,6,-49.8,-51,-47.8,-49
144,"PI 193548 LSP AGL","USDA",1950,NA,NA,"Ethiopia","Africa",2,"Red","M",27.5,27.5,8.7,9.7,13.7,12,44,38.7,44,41.7,88,72.7,89.7,80.3,44,34,45.7,38.7,5.4,5,5.5,6,-34.8,-36,-33.3,-34
145,"PI 193550 AGL","USDA",1950,NA,NA,"Ethiopia","Africa",1,"Red","M",26.7,27.9,9,9,15,12.3,42.7,38.7,44.7,40.7,92.3,72.3,92,82,49.7,33.7,47.3,41.3,4.8,5,4.9,5,-25.5,-26,-24.4,-25
146,"PI 207492 LSP AGL","USDA",1953,NA,NA,"Afghanistan","Asia",6,"Red","S",25.9,22.9,9,9.3,13,13.7,45.7,45.7,49.7,54,95,78,95,87,49.3,32.3,45.3,33,6.3,6,6.4,7,-38.1,-39,-36.4,-38
147,"PI 518731 LSP AGL","USDA",1988,NA,NA,"Brazil","Americas",6,"Red","M",28.3,32,9,9.3,15,13,46.3,45.7,49.7,51,95.7,80.7,97.3,88,49.3,35,47.7,37,6.1,6,6.2,6,-31.5,-32,-30,-31
148,"PI 209858 LSP AGL","USDA",1953,NA,NA,"Greece","Europe",8,"Yellow","XL",34.2,22.2,8.7,9.3,13.7,12.3,52.3,54,58.3,59.7,96.7,NA,96.3,90,44.3,NA,38,29,5.7,6,5.8,6,-53.7,-55,-51.7,-53
149,"PI 211052 LSP AGL","USDA",1953,NA,NA,"Afghanistan","Asia",6,"Red","S",23.8,21.1,8.3,9.7,15.7,13.3,48,45.7,49.7,48.3,94,80,93.7,87,46,34,44,38.7,6.9,7,7,7,-45.5,-47,-43.5,-45
150,"PI 212100 LSP AGL","USDA",1953,NA,NA,"Afghanistan","Asia",6,"Red","M",27.4,24.5,9,9,14.3,12,47.3,45.7,50.3,50.5,93.7,78,94.3,83,46.3,32.3,44,33,6.6,7,6.7,7,-44.4,-46,-42.5,-44
151,"PI 212610 LSP AGL","USDA",1953,NA,NA,"Afghanistan","Asia",7,"Red","S",22.8,19.9,8.3,9.7,17,13.3,48,46,51,53.7,92.7,80,94.3,84.7,44.7,33.5,43.3,31,6.2,6,6.3,6,-39.7,-41,-38,-39
152,"PI 217949 LSP AGL","USDA",1954,NA,NA,"Pakistan","Asia",2,"Red","S",22.3,20.9,9.3,10.3,19,15.3,44,40.3,45,45,91.3,74.3,93,81,47.3,34,48,36,6.7,7,6.7,7,-55.3,-57,-53,-55
153,"PI 238758 LSP AGL","USDA",1957,NA,NA,"Belgium","Europe",3,"Yellow","XL",44.1,55.9,8,8.7,13.7,13.7,49.3,45.3,49,50.7,98,82,101,90,48.7,36,52,42,4.9,5,5.1,5,-17.3,-18,-16.4,-17
154,"PI 244046 AGL","USDA",1957,NA,NA,"Yemen","Asia",1,"Red","S",32.3,32.9,9,9,15.7,14,41.3,37.7,43.3,41.7,90,72.7,93.7,82,48.7,35,50.3,40.3,3.5,3,3.7,4,-15.9,-16,-15.1,-16
155,"PI 250156 LSP AGL","USDA",1958,NA,NA,"Pakistan","Asia",5,"Red","S",24,25.6,9.7,10,18.3,13,44.3,42.3,49,49,91,76,95.3,86,46.7,33.7,46.3,36,6.9,7,6.9,7,-59.3,-61,-56.8,-58
156,"PI 250158 LSP AGL","USDA",1958,NA,NA,"Pakistan","Asia",2,"Red","S",22.9,21.8,9,10.3,17,14.3,43.3,40,45.7,44.3,90.3,76.7,90,81.3,47,36.7,44.3,37,4.9,5,5,5,-31.2,-32,-29.9,-31
157,"PI 251248 LSP AGL","USDA",1958,NA,NA,"Egypt","Africa",1,"Red","M",33,33.6,9.7,8.7,17,13,41.3,35.7,43,38,92.7,73.7,94.3,80,51.3,38,51.3,41.5,3.7,4,3.9,4,-14.9,-15,-14.1,-15
158,"PI 273664 LSP AGL","USDA",1961,9.58333333,41.86666667,"Ethiopia","Africa",6,"Red","M",22.8,28.6,8.3,9.7,17,13.7,47,44.3,49,51.7,93.3,77.3,98.7,87.7,46.3,33,47.5,36,7,7,7.1,7,-53.5,-55,-51.2,-53
159,"PI 280686 AGL","USDA",1962,NA,NA,"Egypt","Africa",2,"Red","M",38.3,34.3,9,9,13.7,12,45.3,40,45.7,44.7,93,78.7,94.3,86.3,47.7,38.7,48.7,41.7,4.8,5,4.9,5,-25.7,-26,-24.6,-25
160,"PI 283604 LSP AGL","USDA",1962,NA,NA,"Portugal","Europe",7,"Yellow","XL",54.3,55.8,8,9,13.7,13.3,49,46.3,53.3,54,97.3,82,97,89.5,48.3,36,43.7,36.5,6.6,7,6.6,7,-64.3,-66,-61.7,-63
161,"PI 289066 AGL","USDA",1963,NA,NA,"Czech Republic","Europe",8,"Yellow","M",32.5,24.8,8.7,10,13.7,13.3,54.3,54.5,56.7,59.3,94.7,NA,95.7,87,40.3,NA,39,28,5.7,6,5.8,6,-53.2,-55,-51.2,-53
162,"PI 289073 LSP AGL","USDA",1963,NA,NA,"Hungary","Europe",7,"Yellow","M",32.8,27.3,8.3,9.3,14.3,13.3,49,48,52,54,94.3,82,94.7,88.5,45.3,34,42.7,34,6.2,6,6.3,6,-39.8,-41,-38.1,-39
