"Name","Alanine_Ro17","Arginine_Ro17","Aspartic.acid_Ro17","Cysteine_Ro17","Glutamic.acid_Ro17","Glycine_Ro17","Histidine_Ro17","Isoleucine_Ro17","Leucine_Ro17","Lysine_Ro17","Methionine_Ro17","Phenylalanine_Ro17","Proline_Ro17","Protein_Ro17","Serine_Ro17","Threonine_Ro17","Tryptophan_Ro17","Tyrosine_Ro17","Valine_Ro17"
"X3156.11_AGL",1.1195,2.0082,3.0345,0.262,4.2342,1.0749,0.7939,1.1466,1.9362,1.7386,0.2582,1.3403,1.1492,27.2647,1.308,1.1027,0.2177,0.8416,1.3184
"CDC_Asterix_AGL",1.0787,1.957,3.0345,0.2508,4.2718,1.0629,0.839,1.1749,1.9488,1.7825,0.2509,1.3547,1.1366,27.4114,1.3288,1.0715,0.2159,0.8062,1.3409
"CDC_Cherie_AGL",1.1187,2.0788,3.178,0.2753,4.3808,1.1064,0.7883,1.1836,1.9956,1.7738,0.2519,1.3807,1.1549,27.9871,1.3406,1.1683,0.2262,0.8265,1.3542
"CDC_Glamis_AGL",1.1414,2.1019,3.1191,0.2791,4.4234,1.1288,0.761,1.228,2.0258,1.823,0.2518,1.4262,1.171,27.7114,1.4054,1.121,0.2259,0.866,1.4027
"CDC_Greenstar_AGL",1.1122,1.9714,2.9626,0.2724,4.1906,1.0962,0.7142,1.1743,1.9425,1.7611,0.2491,1.365,1.1403,26.6763,1.3403,1.1314,0.2234,0.8319,1.3414
"CDC_Imax_AGL",1.1682,2.2088,3.3207,0.294,4.6252,1.1385,0.6364,1.2441,2.0957,1.846,0.2619,1.4618,1.2227,28.5178,1.4183,1.1629,0.2309,0.8652,1.4176
"CDC_Impower_AGL",1.1551,2.2446,3.3339,0.2938,4.597,1.1728,0.8507,1.2554,2.0949,1.8558,0.2716,1.4518,1.2006,29.1357,1.452,1.1841,0.2358,0.9154,1.4356
"CDC_KR.1_AGL",1.0637,1.9338,2.8552,0.265,4.0272,1.0369,0.6726,1.1053,1.8717,1.6606,0.2274,1.3066,1.1241,25.9181,1.2615,1.0729,0.2134,0.7755,1.2684
"CDC_LeMay_AGL",1.1483,2.1185,3.1639,0.2561,4.5093,1.1068,0.7425,1.2272,2.0493,1.852,0.2538,1.4257,1.1766,28.3716,1.3935,1.1078,0.2222,0.8362,1.4172
"CDC_Maxim_AGL",1.1042,2.0695,3.1324,0.2607,4.3489,1.0775,0.7345,1.1652,1.9767,1.7632,0.245,1.3712,1.1579,27.5888,1.326,1.1381,0.2201,0.8138,1.3333
"CDC_QG.1_AGL",1.1606,2.252,3.2933,0.273,4.6386,1.1493,0.9069,1.2638,2.1014,1.8911,0.2594,1.4653,1.1874,29.407,1.4469,1.1868,0.2298,0.8995,1.4455
"CDC_Red_Rider_AGL",1.2747,2.3706,3.5071,0.2917,4.8232,1.1907,0.77,1.2881,2.1753,1.9515,0.2738,1.5171,1.2522,29.8111,1.483,1.225,0.2396,0.9247,1.4846
"CDC_Redcoat_AGL",1.1634,2.2371,3.337,0.279,4.618,1.1318,0.8143,1.2228,2.0893,1.8536,0.2563,1.4423,1.2026,28.8856,1.4041,1.1653,0.2279,0.8669,1.402
"CDC_Redwing_AGL",1.1453,2.2552,3.3569,0.2751,4.7244,1.1417,0.8446,1.285,2.119,1.9244,0.2481,1.4882,1.1782,29.334,1.4836,1.1633,0.2258,0.8806,1.454
"CDC_Robin_AGL",1.1183,2.171,3.2488,0.2822,4.468,1.1016,0.7506,1.1938,2.0326,1.8217,0.2521,1.4156,1.1571,28.1634,1.3837,1.1757,0.2237,0.8587,1.3746
"CDC_Rosebud_AGL",1.1604,2.2544,3.4091,0.2863,4.7414,1.1671,0.8444,1.2752,2.1384,1.9339,0.2712,1.4952,1.2014,29.3838,1.4705,1.1996,0.232,0.9027,1.4604
"CDC_Rosetown_AGL",1.1614,2.2249,3.2526,0.2757,4.5513,1.1221,0.7814,1.2267,2.0743,1.8484,0.2488,1.45,1.1852,28.865,1.412,1.1713,0.2265,0.8663,1.4157
"CDC_Rosie_AGL",1.1763,2.2812,3.382,0.2904,4.6851,1.1484,0.8015,1.2638,2.1271,1.9036,0.2567,1.4891,1.1881,29.5432,1.4605,1.2115,0.2342,0.8916,1.4622
"CDC_Rouleau_AGL",1.1541,2.111,3.1855,0.2549,4.4586,1.1163,0.8049,1.1858,2.0259,1.7901,0.2603,1.3892,1.1895,28.084,1.3411,1.1257,0.2252,0.8474,1.3662
"CDC_Royale_AGL",1.1088,2.0617,3.1061,0.26,4.3555,1.1012,0.8466,1.1909,1.9889,1.7937,0.2463,1.3847,1.1393,27.6684,1.347,1.1317,0.2186,0.8211,1.3626
"CDC_Ruby_AGL",1.2188,2.2945,3.5419,0.2947,4.8609,1.1908,0.6967,1.2965,2.1774,1.9635,0.2715,1.5125,1.2021,29.7735,1.4951,1.2698,0.2394,0.9036,1.4889
"CDC_SB.1_AGL",1.0489,1.9253,2.9955,0.2582,4.1145,1.0132,0.7799,1.1101,1.8771,1.693,0.2444,1.3034,1.1129,26.1757,1.2677,1.0561,0.2051,0.7938,1.2563
"CDC_Sedley_AGL",1.103,2.0772,3.097,0.2648,4.3483,1.0876,0.8479,1.1932,1.9836,1.7854,0.2466,1.3873,1.1609,27.5209,1.3586,1.0799,0.2157,0.848,1.3538
"CDC_Vantage_AGL",1.1549,2.033,3.1348,0.2745,4.3483,1.1209,0.746,1.1868,1.9881,1.8259,0.2674,1.3861,1.1649,27.5461,1.3618,1.1644,0.224,0.8682,1.3559
"CN_105604_AGL",1.0698,2.0168,3.0404,0.2563,4.2241,1.0512,0.7346,1.155,1.9559,1.7182,0.2423,1.3557,1.1409,27.1732,1.3341,1.0497,0.21,0.8024,1.3196
"CN_105605_AGL",1.0901,1.9518,3.0833,0.2788,4.1846,1.0502,0.6269,1.1424,1.9325,1.74,0.2573,1.3345,1.1296,26.8213,1.3144,1.1296,0.2186,0.7926,1.312
"CN_105715_AGL",1.106,2.1713,3.1899,0.2796,4.5503,1.0955,0.7533,1.2702,2.055,1.8413,0.2457,1.4483,1.1649,28.3718,1.4405,1.0872,0.222,0.8664,1.4275
"CN_105732_AGL",1.2064,2.3217,3.4479,0.2748,4.7889,1.1992,0.9365,1.2885,2.1609,1.9399,0.2725,1.4917,1.2465,30.474,1.478,1.1957,0.2378,0.8987,1.4772
"CN_105767_AGL",1.1798,2.2206,3.3323,0.2746,4.6391,1.1489,0.8174,1.2464,2.1034,1.8756,0.2631,1.4622,1.2091,29.1323,1.4189,1.1621,0.2293,0.8734,1.4265
"CN_105777_AGL",1.1042,2.0426,3.0551,0.2558,4.2972,1.0864,0.824,1.1795,1.9672,1.793,0.243,1.3724,1.1336,27.4405,1.3345,1.1132,0.2165,0.822,1.3562
"CN_105789_AGL",1.1543,2.209,3.315,0.2631,4.5708,1.1173,0.8428,1.2195,2.0689,1.8471,0.2605,1.4217,1.1757,29.061,1.4072,1.1527,0.2303,0.857,1.412
"CN_105791_AGL",1.1686,2.3987,3.4954,0.2998,4.7224,1.1487,0.9216,1.2503,2.138,1.8823,0.2664,1.4854,1.2269,30.1709,1.4574,1.1781,0.2361,0.9253,1.4374
"CN_105862_AGL",1.2379,2.3781,3.489,0.2688,4.9662,1.2039,0.9072,1.3217,2.215,2.0005,0.274,1.542,1.2464,30.7389,1.5195,1.2273,0.2395,0.9292,1.5151
"CN_105863_AGL",1.2048,2.3423,3.3373,0.2656,4.8296,1.1752,0.9271,1.2851,2.1746,1.9709,0.2617,1.5184,1.247,30.274,1.4873,1.2104,0.2345,0.9093,1.4812
"CN_105864_AGL",1.1633,2.2001,3.3103,0.2677,4.6277,1.1318,0.8859,1.2365,2.0836,1.8773,0.2593,1.445,1.2019,29.1752,1.4135,1.1351,0.2256,0.8664,1.4152
"CN_105865_AGL",1.204,2.3113,3.4015,0.2738,4.8542,1.1877,0.8404,1.3001,2.1821,1.9593,0.2672,1.5187,1.2341,29.741,1.4998,1.1695,0.2341,0.9026,1.4923
"CN_105866_AGL",1.1993,2.228,3.2623,0.2638,4.609,1.1257,0.8611,1.2402,2.0949,1.8898,0.2472,1.4586,1.2061,28.5125,1.4242,1.1414,0.2234,0.8671,1.4264
"CN_105895_AGL",1.1764,2.4503,3.4986,0.2823,4.8823,1.1872,0.8973,1.2931,2.2108,1.9029,0.2633,1.5166,1.2531,31.1895,1.5102,1.2129,0.2445,0.9119,1.4919
"CN_106265_AGL",1.1274,2.1537,3.2276,0.2713,4.4709,1.101,0.8116,1.1863,2.0204,1.811,0.2546,1.3977,1.1685,28.37,1.3713,1.1117,0.225,0.8385,1.3734
"CN_108369_AGL",1.1143,2.1586,3.1804,0.2609,4.4945,1.1151,0.9518,1.2152,2.0277,1.827,0.2492,1.4103,1.1819,28.9058,1.3851,1.1174,0.2268,0.8532,1.3825
"CN_108370_AGL",1.1944,2.2011,3.3215,0.2659,4.6602,1.1518,0.8589,1.2581,2.1068,1.9281,0.2687,1.469,1.1883,29.1786,1.4433,1.171,0.2288,0.8794,1.4485
"Crimson_AGL",1.1275,2.064,3.1462,0.2609,4.4013,1.1096,0.7624,1.1788,2.0081,1.8152,0.2557,1.3926,1.1595,27.959,1.3416,1.179,0.2222,0.8314,1.3577
"DPL_62_AGL",1.147,2.2378,3.3027,0.2784,4.567,1.1313,0.9345,1.237,2.0667,1.8528,0.2556,1.4453,1.195,29.1632,1.4205,1.1672,0.2275,0.8634,1.4086
"Eston_AGL",1.0768,2.0735,3.1855,0.2693,4.3368,1.0878,0.8614,1.1777,1.9608,1.7834,0.2581,1.3669,1.1521,28.0165,1.3421,1.1284,0.2183,0.8313,1.3342
"Gudo_AGL",1.1772,2.3663,3.4566,0.2739,4.8151,1.1637,0.8899,1.2894,2.1529,1.917,0.2723,1.498,1.2432,30.2024,1.4735,1.1944,0.2346,0.9263,1.4651
"IG_1046_AGL",1.2216,2.3135,3.5283,0.3006,4.7712,1.1999,0.8992,1.297,2.1642,1.9474,0.2798,1.5042,1.2384,30.3285,1.4917,1.2205,0.2405,0.9208,1.4783
"IG_1706_AGL",1.224,2.3682,3.6949,0.3051,4.9192,1.1902,0.8682,1.326,2.232,1.9656,0.2774,1.533,1.2412,31.0218,1.5184,1.2512,0.2454,0.8964,1.5161
"IG_1959_AGL",1.1021,2.0978,3.2606,0.2949,4.3568,1.1023,0.8439,1.213,2.0018,1.7786,0.2588,1.3949,1.1601,28.1609,1.3935,1.1166,0.2226,0.8327,1.373
"IG_4258_AGL",1.0814,2.1271,3.0804,0.2504,4.3814,1.057,0.9668,1.1783,1.9853,1.7894,0.235,1.3887,1.1382,28.2457,1.3499,1.0768,0.2131,0.8211,1.3547
"IG_4781_AGL",1.2153,2.3341,3.4074,0.2731,4.828,1.1739,0.8817,1.3103,2.1708,1.9347,0.2654,1.5161,1.2475,30.0763,1.4907,1.1519,0.2313,0.9064,1.4903
"IG_858_AGL",1.1795,2.4367,3.4757,0.2805,4.788,1.1481,0.9545,1.2714,2.1521,1.8762,0.2546,1.4958,1.2271,30.1084,1.4605,1.1549,0.2358,0.9024,1.4655
"ILL_10657_AGL",1.1372,2.1781,3.2744,0.2988,4.5263,1.1324,0.7116,1.2208,2.0518,1.8143,0.2621,1.4278,1.1842,28.6019,1.4046,1.1773,0.2336,0.8654,1.3931
"ILL_10748_AGL",1.1007,2.1277,3.0872,0.2605,4.3679,1.1122,0.9508,1.1879,1.9973,1.7841,0.2516,1.392,1.1926,28.1615,1.3694,1.1181,0.2195,0.8405,1.3579
"ILL_11547_AGL",1.1695,2.2761,3.4294,0.2975,4.6636,1.1641,0.824,1.2821,2.1479,1.8436,0.2576,1.4861,1.224,29.7679,1.4632,1.1728,0.2395,0.8771,1.4577
"ILL_11548_AGL",1.1486,2.1518,3.3509,0.266,4.6353,1.1668,0.8482,1.2599,2.1021,1.8826,0.2696,1.4462,1.1901,29.4005,1.4297,1.1796,0.2325,0.8652,1.4388
"ILL_11553_AGL",1.1064,2.1486,3.1774,0.2571,4.4227,1.0925,0.9493,1.1896,2.0046,1.7919,0.2439,1.3946,1.1709,28.5484,1.3532,1.1478,0.2171,0.8197,1.3557
"ILL_11555_AGL",1.1013,2.1911,3.1988,0.2697,4.4093,1.1145,1.0058,1.2079,2.0071,1.7855,0.2472,1.4036,1.19,28.7495,1.3798,1.1309,0.2196,0.851,1.3601
"ILL_11557_AGL",1.1569,2.2047,3.2474,0.274,4.562,1.1158,0.8757,1.2372,2.069,1.8422,0.2477,1.448,1.2014,28.8365,1.4135,1.1195,0.2239,0.8427,1.4071
"ILL_11558_AGL",1.1497,2.2882,3.3249,0.2599,4.6413,1.1255,1.0543,1.233,2.0774,1.8618,0.2446,1.446,1.1955,29.9007,1.4151,1.168,0.2287,0.8616,1.4146
"ILL_1220_AGL",1.215,2.2815,3.4605,0.2951,4.7178,1.1738,0.8321,1.266,2.1392,1.9203,0.2751,1.4759,1.2058,29.8957,1.4647,1.2289,0.2389,0.9082,1.4618
"ILL_1553_AGL",1.1961,2.2525,3.4576,0.2944,4.7222,1.1816,0.8172,1.2884,2.1326,1.913,0.2733,1.4829,1.2194,29.5387,1.4777,1.2076,0.2368,0.9081,1.4561
"ILL_1762_AGL",1.0363,1.8603,2.9493,0.274,3.9951,1.018,0.6891,1.1002,1.855,1.6687,0.2396,1.2879,1.0956,26.2704,1.2618,1.1131,0.2126,0.7549,1.259
"ILL_1983_AGL",1.0503,2.1406,3.0876,0.255,4.2998,1.04,1.0275,1.1611,1.9415,1.7111,0.2255,1.3576,1.1348,27.935,1.3258,1.0589,0.2103,0.8036,1.3175
"ILL_213_AGL",1.0952,1.9806,3.2376,0.2665,4.3518,1.0408,0.7151,1.1515,1.9468,1.782,0.263,1.3316,1.1304,27.4952,1.3,1.1131,0.2151,0.7996,1.312
"ILL_2194_AGL",1.0341,2.0586,3.1027,0.252,4.2926,1.0578,0.9249,1.1433,1.9218,1.7308,0.2517,1.3298,1.1541,27.7297,1.3027,1.1121,0.2121,0.8195,1.2817
"ILL_2507_AGL",1.0722,2.0898,3.1233,0.2502,4.3433,1.0519,0.8652,1.168,1.9667,1.7778,0.2391,1.3706,1.1401,27.821,1.3328,1.1153,0.2098,0.8062,1.3287
"ILL_2580_AGL",1.1509,2.284,3.3805,0.2573,4.6583,1.1324,1.0007,1.2292,2.0898,1.8639,0.253,1.4438,1.2005,29.8486,1.4168,1.1714,0.2271,0.8672,1.413
"ILL_28_AGL",1.0624,1.9874,2.9955,0.2556,4.2616,1.0437,0.7346,1.1514,1.9195,1.7547,0.2493,1.3434,1.136,26.7226,1.3107,1.0743,0.209,0.8163,1.3023
"ILL_3025_AGL",1.0377,2.079,3.0324,0.243,4.2605,1.0179,0.9108,1.1422,1.9255,1.7264,0.2275,1.3465,1.1178,27.5111,1.3103,1.0772,0.2068,0.7939,1.3042
"ILL_313_AGL",1.1442,2.2753,3.3553,0.2762,4.6566,1.1342,0.8919,1.2649,2.0959,1.8721,0.2581,1.4664,1.1955,29.3956,1.4368,1.1551,0.2272,0.8922,1.4391
"ILL_3347_AGL",1.0404,2.0096,2.992,0.2491,4.1858,1.0272,0.9036,1.1288,1.9009,1.7026,0.2364,1.3243,1.1159,27.1758,1.2873,1.0809,0.2071,0.7955,1.2856
"ILL_358_AGL",1.1483,2.2813,3.3978,0.267,4.7435,1.1334,0.8393,1.2866,2.1145,1.8973,0.2507,1.4869,1.2156,29.5194,1.4671,1.1758,0.2212,0.8585,1.4379
"ILL_3597_AGL",1.0247,1.9885,2.9214,0.242,4.106,0.9879,0.9438,1.1139,1.8594,1.6828,0.2152,1.3062,1.0951,26.9425,1.2753,1.0457,0.2001,0.7693,1.2605
"ILL_4164_AGL",1.1063,2.2646,3.2292,0.2674,4.5289,1.0691,0.8874,1.2167,2.0498,1.8175,0.2403,1.4325,1.1771,28.8198,1.4011,1.1084,0.2186,0.8845,1.3912
"ILL_4400_AGL",1.1314,2.2582,3.2593,0.2686,4.5748,1.1352,0.9591,1.2206,2.0641,1.8638,0.2568,1.4431,1.1933,29.505,1.4132,1.173,0.2365,0.8792,1.4123
"ILL_4605_AGL",1.1004,2.0847,3.0996,0.2598,4.3258,1.0869,0.8695,1.1728,1.9723,1.7978,0.2534,1.3797,1.1729,28.0484,1.3372,1.134,0.2173,0.8338,1.341
"ILL_4609_AGL",1.1104,2.1128,3.129,0.2608,4.3072,1.0839,0.9171,1.1533,1.9696,1.7813,0.2424,1.3674,1.1445,28.2901,1.346,1.1491,0.2201,0.8261,1.337
"ILL_4665_AGL",1.1125,2.221,3.2193,0.2724,4.5212,1.1491,1.0392,1.2193,2.0504,1.8327,0.2511,1.4256,1.1911,29.7568,1.41,1.1565,0.2346,0.8668,1.3987
"ILL_4671_AGL",1.1615,2.2772,3.2708,0.2618,4.6666,1.1245,0.8937,1.2462,2.0897,1.8867,0.255,1.4622,1.2156,29.4703,1.4127,1.2133,0.2281,0.8711,1.4239
"ILL_4768_AGL",1.1306,2.1739,3.2477,0.266,4.4643,1.1027,0.7771,1.1969,2.0408,1.8077,0.2594,1.4104,1.1662,28.4201,1.3886,1.1757,0.226,0.8618,1.3839
"ILL_4782_AGL",1.0242,1.866,2.9262,0.2507,4.0651,1.0058,0.8518,1.118,1.8527,1.7101,0.2466,1.3009,1.0995,26.2845,1.2585,1.1265,0.1979,0.7964,1.2437
"ILL_4783_AGL",1.101,2.053,3.1075,0.2633,4.4103,1.0946,0.758,1.1874,1.9832,1.8293,0.2596,1.3949,1.1473,27.6954,1.3365,1.1873,0.2201,0.8488,1.3554
"ILL_4804_AGL",1.211,2.2448,3.3383,0.2521,4.73,1.1406,0.9781,1.2494,2.1249,1.9174,0.2579,1.4772,1.2288,29.5017,1.4192,1.1685,0.2274,0.8774,1.4357
"ILL_4875_AGL",1.1064,1.9414,3.1052,0.2633,4.2694,1.0692,0.7719,1.1747,1.947,1.8182,0.2578,1.3573,1.1081,27.0485,1.3388,1.1661,0.2107,0.8245,1.3353
"ILL_4956_AGL",1.2572,2.4802,3.7044,0.2895,5.1353,1.2437,0.8716,1.3577,2.2786,2.0471,0.2905,1.5825,1.2811,31.3552,1.5422,1.2887,0.2413,0.9688,1.5484
"ILL_5058_AGL",1.1999,2.1597,3.1965,0.2534,4.5668,1.1329,0.8426,1.2346,2.0651,1.8548,0.2533,1.4385,1.2105,28.1939,1.3917,1.114,0.2239,0.8485,1.4069
"ILL_5151_AGL",1.1958,2.4137,3.65,0.2939,4.9224,1.1966,0.8205,1.286,2.2065,1.9404,0.2844,1.524,1.2394,30.0945,1.4887,1.2713,0.2363,0.9318,1.4771
"ILL_5209_AGL",1.1071,2.087,3.2912,0.2815,4.4394,1.1084,0.7451,1.2092,2.0044,1.8322,0.2687,1.4037,1.154,27.7828,1.3826,1.2426,0.2148,0.8776,1.3505
"ILL_5480_AGL",1.1977,2.2367,3.4176,0.2685,4.6976,1.1761,0.87,1.2632,2.1173,1.9131,0.2719,1.4757,1.2001,29.351,1.4368,1.2501,0.2333,0.9013,1.4413
"ILL_5639_AGL",1.0326,1.8612,2.958,0.2302,4.1185,0.993,0.7769,1.117,1.8624,1.7054,0.2431,1.3027,1.1173,25.6923,1.2533,1.0502,0.1935,0.7534,1.2419
"ILL_5722_AGL",1.1776,2.338,3.3537,0.2664,4.7123,1.1213,0.8127,1.2529,2.1231,1.8972,0.2458,1.4885,1.2026,28.9246,1.4461,1.182,0.2196,0.866,1.4406
"ILL_5883_AGL",1.1714,2.342,3.5001,0.2827,4.8278,1.1658,0.8168,1.3096,2.1635,1.9315,0.2684,1.5205,1.2279,29.5256,1.4857,1.2452,0.2205,0.9218,1.463
"ILL_5888_AGL",1.0661,1.9165,2.9487,0.2479,4.0715,1.0344,0.8558,1.1191,1.8613,1.6982,0.2422,1.306,1.1106,26.1193,1.2528,1.1269,0.2035,0.7965,1.265
"ILL_5945_AGL",1.1336,2.2646,3.3633,0.2556,4.6107,1.146,0.8961,1.2138,2.0852,1.8284,0.263,1.436,1.1716,29.0378,1.4185,1.226,0.2297,0.8806,1.4049
"ILL_6002_AGL",1.1661,2.2786,3.367,0.2754,4.7084,1.158,0.8245,1.2642,2.1131,1.9088,0.2618,1.4843,1.205,29.0785,1.438,1.2216,0.2291,0.8858,1.4374
"ILL_618_AGL",1.1291,2.0332,3.3384,0.2766,4.4045,1.0844,0.7187,1.1953,1.9914,1.8189,0.2772,1.3738,1.1496,27.6362,1.3497,1.1678,0.2195,0.8353,1.3539
"ILL_6182_AGL",1.1596,2.2253,3.3857,0.2688,4.6152,1.1319,0.8878,1.2325,2.0732,1.8683,0.2608,1.4459,1.1749,29.0452,1.4013,1.2149,0.2249,0.8668,1.4107
"ILL_6211_AGL",1.1515,2.1671,3.2571,0.2626,4.5452,1.1416,0.7996,1.2257,2.0551,1.8553,0.2644,1.4337,1.2009,28.2257,1.3891,1.2047,0.2242,0.8579,1.3916
"ILL_624_AGL",1.1712,2.2474,3.3888,0.2694,4.6281,1.1213,0.8597,1.2258,2.0723,1.8752,0.2593,1.4446,1.1842,29.0957,1.3951,1.2054,0.2264,0.8651,1.4146
"ILL_6821_AGL",1.1518,2.1798,3.3616,0.2719,4.6139,1.115,0.777,1.2559,2.0789,1.9031,0.2605,1.4588,1.1705,28.5216,1.4328,1.189,0.219,0.8699,1.4231
"ILL_6853_AGL",1.1473,2.2085,3.3171,0.2693,4.6442,1.1393,0.8351,1.2404,2.0703,1.8712,0.2656,1.4482,1.1886,28.6468,1.4057,1.2196,0.2261,0.89,1.4051
"ILL_7089_AGL",1.1604,2.2027,3.4113,0.294,4.601,1.1443,0.7666,1.2682,2.0853,1.8828,0.2723,1.4663,1.1671,28.4398,1.4528,1.2093,0.227,0.8894,1.4304
"ILL_7558_AGL",1.1093,2.1115,3.1754,0.2559,4.428,1.0858,0.7752,1.1977,2.0031,1.7998,0.2588,1.4048,1.1774,27.301,1.3415,1.1559,0.2107,0.8525,1.3509
"ILL_7663_AGL",1.2595,2.366,3.5542,0.2803,4.9105,1.1961,0.8837,1.3255,2.2027,1.9748,0.2779,1.5355,1.24,30.1926,1.5079,1.2392,0.2365,0.9574,1.502
"ILL_7668_AGL",1.1732,2.4509,3.4503,0.2599,4.7761,1.1743,1.2546,1.2592,2.1443,1.8779,0.2427,1.4894,1.2166,31.0335,1.4549,1.2375,0.2351,0.9021,1.4474
"ILL_7716_AGL",1.0533,1.9047,2.9745,0.2567,4.1067,1.0527,0.7273,1.131,1.8786,1.7272,0.2521,1.3222,1.1207,26.0401,1.2682,1.1343,0.2044,0.7911,1.2714
"ILL_7747_AGL",1.1516,2.1577,3.3174,0.2705,4.5692,1.1278,0.778,1.2247,2.0555,1.8487,0.254,1.4358,1.1634,28.2184,1.3899,1.1853,0.2209,0.8602,1.4033
